time,dgfs,darome,dicon7,dir,temp
2025-12-09 02:00:00,2.2,1.6,0.7,195,10.7
2025-12-09 03:00:00,2.1,1.4,0.8,198,10.4
2025-12-09 05:00:00,2.3,1.0,0.7,196,9.1
2025-12-09 06:00:00,1.6,1.9,0.3,212,8.9
2025-12-09 08:00:00,0.2,3.0,1.2,232,8.3
2025-12-09 09:00:00,0.0,2.8,1.4,220,8.5
2025-12-09 11:00:00,0.3,4.7,0.8,215,10.9
2025-12-09 12:00:00,0.7,1.2,0.8,227,13.0
2025-12-10 13:00:00,2.4,1.2,2.5,235,16.4
2025-12-10 16:00:00,3.1,0.8,3.7,264,14.6
2025-12-10 19:00:00,2.8,0.8,1.7,93,10.7
2025-12-10 22:00:00,2.6,0.1,2.0,95,9.3
2025-12-11 01:00:00,2.2,0.5,1.8,78,8.6
2025-12-11 04:00:00,2.2,0.1,1.7,64,9.0
2025-12-11 07:00:00,2.5,1.4,2.5,87,9.8
2025-12-11 10:00:00,0.5,2.2,1.3,227,11.6
2025-12-10 05:00:00,2.2,1.1,0.4,165,10.2
2025-12-10 06:00:00,3.5,0.2,1.3,177,10.1
2025-12-10 08:00:00,2.8,1.1,0.5,177,11.7
2025-12-10 09:00:00,2.1,1.4,0.3,211,12.8
2025-12-10 11:00:00,4.4,2.2,1.2,220,15.4
2025-12-10 12:00:00,2.6,2.9,0.9,243,16.7
2025-12-10 14:00:00,2.7,0.6,2.4,234,16.7
2025-12-10 15:00:00,2.5,0.2,2.5,249,16.1
2025-12-10 17:00:00,4.4,3.4,3.6,348,13.2
2025-12-10 18:00:00,2.5,1.2,1.8,83,12.6
2025-12-10 20:00:00,3.3,0.2,1.5,76,10.2
2025-12-10 21:00:00,3.4,0.0,1.8,60,9.7
2025-12-10 23:00:00,2.3,0.2,1.7,40,9.5
2025-12-11 00:00:00,2.3,0.5,1.8,83,9.0
2025-12-11 02:00:00,2.3,0.3,1.7,36,9.2
2025-12-11 03:00:00,2.4,0.3,1.7,39,9.7
2025-12-11 05:00:00,1.8,0.2,1.7,72,9.3
2025-12-12 04:00:00,3.8,0.6,2.8,240,10.5
2025-12-12 07:00:00,2.3,0.0,1.3,71,9.1
2025-12-12 10:00:00,2.0,2.0,1.1,228,13.1
2025-12-12 13:00:00,0.4,0.9,0.2,239,12.3
2025-12-12 16:00:00,1.5,1.9,0.7,165,11.7
2025-12-12 19:00:00,1.6,0.6,1.1,62,11.1
2025-12-12 22:00:00,3.7,0.7,2.0,71,10.4
2025-12-11 06:00:00,0.3,0.5,0.6,89,10.1
2025-12-11 08:00:00,1.7,0.1,1.5,188,10.8
2025-12-11 09:00:00,0.7,0.8,0.4,220,11.2
2025-12-11 11:00:00,0.6,3.0,1.9,234,12.3
2025-12-11 12:00:00,0.8,2.6,1.7,227,12.6
2025-12-13 10:00:00,1.1,1.0,0.4,85,12.4
2025-12-12 02:00:00,3.4,1.0,2.9,90,10.4
2025-12-12 03:00:00,3.4,0.4,3.0,270,10.5
2025-12-12 05:00:00,4.1,0.8,2.4,164,9.9
2025-12-12 06:00:00,2.4,0.3,1.1,81,7.7
2025-12-12 08:00:00,2.2,0.2,1.5,90,9.3
2025-12-12 09:00:00,1.8,0.6,1.6,169,12.9
2025-12-12 11:00:00,1.5,2.6,1.5,206,12.9
2025-12-12 12:00:00,0.5,1.6,0.1,246,12.5
2025-12-12 14:00:00,2.1,1.3,2.9,216,12.5
2025-12-12 15:00:00,1.3,0.6,1.4,170,12.4
2025-12-12 17:00:00,0.3,1.2,0.3,127,11.1
2025-12-12 18:00:00,0.9,1.2,0.5,108,11.2
